Compound,RT,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,519,520,521,522,523,524,525,526,527,528,529,530,531,532,533,534,535,536,537,538,539,540,541,542,543,544,545,546,547,548,549,550,551,552,553,554,555,556,557,558,559,560,561,562,563,564,565,566,567,568,569,570,571,572,573,574,575,576,577,578,579,580,581,582,583,584,585,586,587,588,589,590,591,592,593,594,595,596,597,598,599,600
1,12.63,19088,16844,3492,9790,6057,33698,14308,284892,122272,1015611,197905,380381,38612,187153,7178293,1373889,84112,46450,59650,110106,28193,209750,88370,654252,244412,208243,27752,4691090,386966,35656,1517,40082,9724,67444,25363,149301,95101,501695,225813,45069,19696,433804,46788,14407,3523,14177,8449,52199,12143,73681,37526,185813,52995,24357,9376,183075,61741,11606,2686,14632,4225,50487,12216,34931,17586,75261,18194,13126,8828,503471,92264,14500,6289,22259,6370,59037,11859,14743,12991,40142,5021,13600,5373,1181113,111029,11811,2430,19244,6775,25820,3045,7028,19251,26098,9154,5211,5036,130558,30033,8735,619,4051,15,15497,4514,7816,6754,13854,7405,2594,1841,337104,48523,6266,0,1014,3736,15163,6446,9689,1795,7560,3579,1741,1253,342571,49920,5166,1589,2371,389,24962,9772,14447,27336,17290,31199,8248,2199,292772,45423,4390,2434,1557,1529,5439,2979,194325,31366,28608,5690,2247,1986,147603,26758,4052,555,972,2082,6272,4672,10313,2516,7750,1554,2962,6175,749997,102129,7488,2190,1,1086,132,0,590,9804,10280,5995,413912,68093,181027,29952,5239,105,503,117,310,961,3401,145,4231,1792,6962,3362,3779,606,514,751,305,674,0,227,1045,1860,4517,851,11296,1935,7318,901988,166622,14424,2568,122,645,272,6,0,904,791,36725,13268,8790,2045,38,754,29,0,0,413,0,84,276,2,979,1,0,638,368,482,140,187,4,114,1,0,5,722,0,0,110,1096,2154,122,4077,239,626,0,0,0,0,1,101,0,938,344,4733,2080,2058,2672,2728,2820,939,0,876,1,0,2,7,1781,4199,860,2538,1050,794,5,389,2377,686,2,6,0,279,0,10305,3463,1187,917,9,257,0,0,16,29,0,3,0,1,918,0,973,180,276,430,0,0,1275,1775,294,0,1406,2,0,27,1018,400,237,544,2274,557,764,344,855,498,294,0,65,37,704,102,787,172,2176,819,2456,1297,1464,415,10,0,4,0,1,0,1018,49,600,1955,1,650,25,301,0,165,0,0,0,0,1162,1053,424,617,216,39,0,0,0,0,0,0,0,0,0,193,0,0,2,274,119,99,590,2,358,9,881,0,213,0,637,0,6,0,76,1184,805,21,712,225,382,782,254,56,5,511,134,0,1271,18,2537,682,0,216,0,395,0,8,452,0,0,320,329,441,0,0,0,703,0,0,0,0,0,494,538,0,285,0,0,27,13,0,319,130,0,0,24,0,131,0,32,39,0,0,83,27,0,28,9,0,0,48,0,0,0,0,0,164,0,18,3,0,0,147,0,9,12,0,0,0,127,0,0,272,462,11,0,0,0,0,0,38,2,0,23,0,0,27,46,0,0,0,40,0,0,112,27,0,0,258,82,0,0,69,37,0,0,5,0,0,2,0,0,0,0,188,28,0,22,0,89,59
2,14.14,7601,11700,1796,4720,3064,20043,9730,122009,62869,326554,63119,106438,13284,186326,1494416,349394,23505,30850,52844,45749,15129,98869,50593,200141,80081,68853,12188,1048058,89426,12015,1859,33107,8706,34108,13572,72870,104150,172184,75177,15980,8661,95320,11694,17943,6024,14901,8528,19566,12899,34612,28583,63239,24696,16755,9766,48438,17045,12969,6239,31703,4334,29793,4053,24145,17336,33201,12461,13541,13695,104424,27003,8440,5081,48842,11909,54182,7937,11993,13370,14992,4196,12351,11517,267400,27805,7081,2439,58343,10746,25812,6077,6580,14883,12902,8918,8394,9035,45912,9912,3341,1620,9043,7238,22038,6836,15743,10687,10928,4846,7450,1391,17673,5173,3782,4396,3817,5970,27911,9516,16321,10206,7622,2895,3148,681,38946,11375,2584,2286,8816,2955,60464,18808,33712,13029,10966,1806,10032,3316,114606,18255,2346,2299,2678,1161,8578,13358,424831,88240,58031,8309,6803,100,46260,12868,3449,407,2024,2597,2583,4183,26607,15629,10134,6537,2296,1168,13396,3111,1495,554,1284,133,2286,388,6281,3909,2346,1729,2477,3952,37264,6410,1398,174,182,1477,2222,667,11987,5530,8377,3168,21756,5676,139606,25773,2855,147,1699,626,720,624,1854,21004,24585,7711,84609,14446,39339,9758,3259,617,43,123,1,0,1010,0,2485,2413,109566,21110,22452,6208,274,3270,1148,398,195,865,0,136,854,0,4297,3679,7054,217391,45662,5088,517,0,497,73,0,77,64,4,2666,103,332,160,2090,59,1885,926,30,0,807,0,0,249,951,4,6099,16,8245,2936,4355,2113,8950,1314,1289,311,146,127,574,0,999,120,7602,1724,6111,3220,1683,5726,2149,381,234,0,0,147,1975,0,39449,15831,8348,1938,667,0,162,158,565,0,0,0,0,283,641,919,4,4,840,1,861,2,2098,0,434,435,0,13,40,0,1210,0,1082,1388,2251,1865,43,828,94,220,883,667,884,0,577,1495,4894,112,5223,1935,5320,3561,629,121,202,0,51,0,200,458,4655,460,2673,421,533,0,343,0,0,0,0,43,0,0,6003,2487,2055,0,97,4,252,10,0,0,0,44,0,0,13,0,41,89,381,0,0,19,2260,808,621,21,839,1094,344,0,497,0,2065,930,276,588,0,1288,76,0,954,157,380,10,0,566,1172,463,735,295,1049,776,171,306,0,0,0,89,37,364,1400,0,5,459,314,3,0,0,115,43,0,0,0,542,4466,1646,1013,0,280,0,0,41,0,0,0,59,0,0,0,0,26,0,632,0,1450,0,0,242,36,152,0,459,0,0,211,1523,3319,128,139,498,641,0,597,0,0,9,1901,0,0,0,131,0,0,214,142,174,0,27,62,0,420,0,362,281,0,757,0,90,80,0,100,34,0,0,0,0,0,66,84,202,128,0,0,0,0,0,0,0,99,0,580,0,0,16,0,37,10,0,1,0,0,72
3,12.64,22598,14748,7286,8512,5043,39312,23335,329745,135487,1262427,241806,453441,43864,193681,8550171,1567268,87195,60976,60357,133578,30679,256927,111397,792764,286312,247803,65174,5556812,473986,40183,4421,47173,8749,83759,24777,196710,117546,603694,248298,52069,32203,530552,52705,18029,8470,14801,7271,63956,16601,87359,51002,192893,64389,40657,12557,239263,89623,12825,4586,14873,3223,65048,13482,50899,22514,93414,21969,18039,12414,596139,109974,13153,2686,35920,5063,70771,12703,21401,17455,47659,15143,13498,12974,1448205,128793,16970,0,25513,3320,32107,5546,10292,18038,33321,13128,7143,6816,158822,34570,5165,1631,5351,3313,23164,9461,15032,10355,21673,10445,2803,4757,407140,56933,7155,1202,2973,3566,22305,5141,9348,6082,11886,4719,4313,3277,419962,58990,7130,1626,6952,1561,35434,7287,23568,22225,14601,34094,12226,3364,368362,47564,6635,1414,3725,951,7603,1377,213363,51322,37307,6844,2587,1522,165885,31225,5034,1877,1025,3770,10266,7328,10743,3306,9087,3510,2034,8508,866954,140718,12426,747,386,587,40,1456,2102,6658,13405,11983,473738,85842,212166,39552,3870,1408,104,359,29,37,5442,3020,4758,3019,11281,3879,5990,29,1776,346,563,309,424,247,923,302,4949,1531,10130,1602,16247,1052550,190601,19279,4243,397,30,730,89,22,1365,1393,48133,15619,8046,3973,1078,256,48,132,32,969,77,29,558,0,1710,351,1928,353,74,0,97,46,33,318,27,409,67,0,369,421,82,573,2222,0,3452,983,242,334,74,32,0,0,0,46,2542,1824,4541,3329,2625,501,2426,622,730,121,59,54,272,432,725,140,6794,1144,2180,3115,222,0,1962,351,0,199,2,10,343,144,12220,3117,4201,1226,1097,140,0,68,0,134,33,86,74,2,883,406,383,0,770,190,582,650,750,572,15,674,268,2,281,790,463,236,1190,75,1146,1487,455,660,33,817,444,19,628,16,683,351,1561,773,4159,840,1723,2091,1056,167,20,59,64,72,46,0,1645,805,2863,1570,4,808,18,0,39,34,595,461,244,101,3015,979,1357,782,21,48,243,98,0,10,37,230,19,29,122,29,152,10,1,0,349,452,1702,673,13,103,377,40,110,91,183,28,681,174,118,519,1051,443,1027,1128,0,1015,100,155,256,36,515,14,446,137,2642,56,2230,0,77,117,61,13,312,0,321,125,240,378,490,2,82,550,4,0,29,25,41,51,846,407,658,650,40,127,244,0,77,256,22,58,0,61,15,88,327,21,173,42,20,18,401,273,0,480,511,701,22,2,33,2,228,523,1,25,161,32,0,0,106,70,694,25,308,327,11,241,41,519,369,44,442,55,0,2,23,3,0,24,164,0,80,0,359,882,32,83,46,0,134,125,0,176,44,37,0,72,46,49,3,125,525,0,229,3,110,52,0,184,129,60,25,0,115,39,46,0
4,14.15,4306,1626,3539,1347,135,0,3794,92390,26717,336103,54879,151847,3596,419459,2254889,481389,21388,0,3910,17365,12557,69949,21787,223472,76441,90168,7475,1574406,127297,13894,0,6902,0,19433,4741,57732,31858,178948,67872,17407,7424,171636,18093,0,0,0,508,14546,6511,29662,9759,78039,19570,13795,2106,63371,19173,3945,100,3240,1131,16685,5449,15994,7496,26020,0,8782,2870,141749,41957,11917,618,9679,1567,4301,1932,11880,1934,9254,0,19596,3505,459452,54242,3908,0,144523,21757,17873,1602,5020,0,8013,760,14989,0,55458,8805,5106,1968,0,0,308,4106,3422,0,8791,0,5963,1888,20967,11197,3381,1546,3183,34,3608,2444,4049,2181,6481,1958,4503,0,71974,13235,2725,1441,1857,2146,0,9286,0,2457,0,4341,10246,0,173594,27065,5133,6523,0,0,6655,4443,12915,6109,6766,0,982,232,65295,8481,6004,2137,638,0,5105,0,88187,15524,16583,4351,1990,0,28357,2188,685,908,0,264,1950,1290,0,2705,3486,1581,0,1258,42723,9125,1151,0,1681,84,2196,0,11115,0,3715,0,956,170,220410,39710,0,0,0,0,929,368,0,0,9006,630,119281,18180,38098,9389,4382,0,0,339,45,68,207,0,1401,308,85645,14065,12013,1816,2050,994,1319,0,1143,0,1020,35,1094,0,11514,0,4011,362565,67472,12366,95,0,187,16,502,264,0,0,0,0,0,0,107,2031,652,0,196,251,0,604,931,0,412,812,6136,12072,4565,0,1283,103,0,0,1745,0,222,0,519,0,3105,291,8353,3983,6453,0,0,404,0,0,0,0,0,0,1455,256,135954,50515,28050,9758,4063,2173,0,0,1208,0,0,0,425,620,2287,1755,3772,0,0,435,0,0,0,599,363,0,366,122,2678,1619,1282,290,304,109,2469,1552,251,0,208,118,15,87,229,122,4967,3135,10159,9152,4621,0,0,563,1067,0,2629,0,0,33,1407,1621,9961,2315,5839,698,864,860,0,0,0,0,371,0,373,0,25616,8816,8681,1566,918,673,84,0,22,0,72,0,65,25,339,1,0,0,1094,0,746,0,818,1539,0,0,73,0,264,2389,714,333,3847,3787,4362,645,0,0,0,642,0,0,0,156,1019,0,1872,1909,156,718,239,0,15,4,0,0,69,0,318,0,2491,1676,2938,0,430,0,0,0,355,0,0,77,130,1325,10109,8391,2551,2273,916,0,0,39,27,0,68,0,8,358,1288,197,1774,1574,647,106,0,271,0,142,359,0,0,0,2,0,3827,64,5965,2986,1674,157,387,0,883,930,0,1859,0,191,514,0,875,685,0,0,0,0,0,448,0,64,0,0,1627,102,591,0,245,0,731,0,29,0,0,0,0,0,272,0,3228,661,1666,680,0,0,0,0,0,0,1,224,132,0,0,414,401,470,836,2,0,0,24,0
